Transaction.Date,Transaction.Amount,Customer.Age,Account.Age.Days,Transaction.Hour,source,browser,sex,Payment.Method,Product.Category,Quantity,Device.Used,Address.Match,Is.Fraudulent
2015-05-04 14:05:19,24.0,27,21,14,SEO,IE,M,debit card,clothing,2,desktop,0,0
2024-01-28 17:48:15,15.61,24,84,17,SEO,Chrome,F,PayPal,home & garden,5,desktop,1,0
2015-01-29 11:51:27,30.0,22,28,11,SEO,FireFox,F,credit card,electronics,1,mobile,1,0
2024-02-06 16:26:11,341.71,26,300,16,SEO,Chrome,M,credit card,home & garden,1,tablet,1,0
2024-03-12 16:20:48,107.21,53,321,16,Direct,IE,F,debit card,home & garden,2,mobile,1,0
2015-01-08 23:28:09,17.0,29,0,23,Ads,IE,M,PayPal,toys & games,4,tablet,1,1
2024-02-11 13:59:43,210.24,26,340,13,Ads,IE,F,bank transfer,clothing,2,mobile,1,0
2015-10-12 09:10:43,28.0,42,80,9,Ads,IE,M,debit card,home & garden,5,mobile,1,0
2015-06-11 16:15:41,23.0,26,118,16,Ads,Chrome,M,debit card,clothing,4,desktop,1,0
2024-01-30 21:57:17,171.56,53,11,21,SEO,Chrome,F,credit card,clothing,2,mobile,1,0
2024-02-09 05:02:16,31.91,25,299,5,Ads,Chrome,F,debit card,toys & games,3,desktop,1,0
2024-03-04 06:53:05,91.61,47,360,6,Ads,Safari,M,bank transfer,electronics,5,tablet,0,0
2015-05-02 00:46:35,29.0,27,5,0,SEO,FireFox,M,debit card,toys & games,3,tablet,1,0
2024-04-02 14:19:47,855.77,45,57,14,Ads,IE,M,PayPal,clothing,4,tablet,1,0
2024-03-06 20:51:36,190.73,41,295,20,Ads,FireFox,M,credit card,toys & games,4,tablet,1,0
2024-04-01 22:16:15,250.46,22,125,22,Direct,IE,M,PayPal,health & beauty,5,desktop,1,0
2015-01-03 10:06:22,64.0,54,0,10,Direct,FireFox,F,bank transfer,home & garden,4,desktop,1,1
2015-08-29 14:55:32,25.0,32,83,14,Ads,Chrome,M,debit card,health & beauty,2,tablet,1,0
2015-01-07 09:04:12,84.0,28,0,9,Direct,Safari,F,credit card,electronics,5,tablet,1,1
2015-07-29 13:01:05,72.0,36,42,13,Ads,Safari,F,PayPal,toys & games,2,mobile,1,0
2015-01-06 01:37:03,10.0,52,0,1,SEO,FireFox,M,bank transfer,home & garden,2,desktop,1,1
2015-06-07 02:17:26,67.0,44,111,2,SEO,Chrome,M,PayPal,home & garden,3,desktop,1,0
2024-03-17 17:06:30,25.1,39,195,17,SEO,Chrome,M,PayPal,home & garden,1,tablet,1,0
2015-06-29 15:51:43,18.0,18,96,15,Ads,FireFox,F,debit card,toys & games,2,mobile,1,0
2024-01-04 08:21:46,96.31,43,245,8,Ads,Chrome,F,PayPal,home & garden,2,mobile,1,0
2024-03-22 05:57:01,694.21,53,206,5,SEO,Safari,M,bank transfer,home & garden,2,desktop,1,0
2024-01-01 11:41:17,292.87,32,136,11,SEO,FireFox,F,bank transfer,home & garden,1,tablet,1,0
2024-01-21 05:49:18,203.72,26,16,5,Ads,IE,F,bank transfer,health & beauty,5,mobile,1,0
2015-06-07 11:38:04,36.0,19,99,11,SEO,FireFox,M,credit card,home & garden,2,desktop,1,0
2015-06-29 02:48:20,29.0,31,9,2,Ads,Chrome,F,credit card,toys & games,3,desktop,1,0
2015-06-29 22:59:41,40.0,38,48,22,Ads,Opera,F,debit card,electronics,5,mobile,1,0
2015-09-02 11:43:11,56.0,31,27,11,Direct,Safari,F,bank transfer,home & garden,3,mobile,1,0
2024-03-13 02:40:10,486.95,35,131,2,Ads,Chrome,M,PayPal,clothing,4,mobile,0,0
2015-06-11 08:32:51,55.0,40,108,8,Ads,Chrome,M,bank transfer,toys & games,1,desktop,1,0
2015-07-20 11:46:46,38.0,28,119,11,Direct,Safari,F,PayPal,health & beauty,3,mobile,0,0
2015-10-04 05:36:24,46.0,34,107,5,SEO,Chrome,M,debit card,health & beauty,1,desktop,1,1
2015-09-02 09:34:38,47.0,30,97,9,Direct,Chrome,M,bank transfer,clothing,1,desktop,1,0
2015-10-10 03:53:01,25.0,26,117,3,Direct,Safari,M,PayPal,clothing,2,mobile,1,0
2015-04-07 00:34:32,28.0,45,12,0,Ads,FireFox,M,debit card,electronics,1,mobile,0,0
2015-08-02 10:11:18,59.0,40,111,10,Direct,Chrome,M,bank transfer,home & garden,5,mobile,1,0
2024-03-05 03:44:37,103.41,31,177,3,SEO,FireFox,F,credit card,home & garden,5,tablet,1,0
2024-02-19 07:36:23,216.44,24,252,7,SEO,Safari,M,debit card,home & garden,3,mobile,1,0
2015-10-14 23:16:28,106.0,40,111,23,Ads,Chrome,M,bank transfer,health & beauty,4,mobile,1,0
2024-02-06 04:14:15,30.17,39,78,4,Direct,Chrome,M,PayPal,health & beauty,3,mobile,1,0
2015-06-05 12:41:14,62.0,29,17,12,SEO,Chrome,F,debit card,toys & games,5,tablet,1,0
2024-01-29 08:30:47,163.23,51,325,8,Ads,IE,M,credit card,health & beauty,3,mobile,1,0
2015-06-01 05:39:39,65.0,35,65,5,Ads,FireFox,M,credit card,health & beauty,1,tablet,1,0
2024-02-26 02:31:53,186.89,26,125,2,SEO,IE,F,PayPal,home & garden,2,tablet,1,0
2015-04-29 18:37:32,21.0,44,29,18,SEO,Safari,M,PayPal,toys & games,3,desktop,1,0
2015-06-11 00:05:16,20.0,40,63,0,SEO,Chrome,M,bank transfer,home & garden,1,mobile,1,0
2024-01-25 02:32:26,211.67,41,15,5,Ads,Chrome,F,bank transfer,health & beauty,2,tablet,1,1
2024-01-11 01:15:15,11.27,30,210,1,SEO,Chrome,F,PayPal,health & beauty,1,mobile,1,0
2015-05-16 23:42:19,34.0,29,14,23,SEO,Opera,F,bank transfer,clothing,1,tablet,1,0
2015-03-16 10:04:41,15.0,33,0,10,SEO,Safari,M,credit card,clothing,3,mobile,1,0
2015-06-30 08:50:11,46.0,35,93,8,Ads,Chrome,M,debit card,toys & games,5,desktop,0,0
2024-01-02 11:52:38,75.8,23,7,11,Ads,Safari,M,debit card,toys & games,5,desktop,1,0
2024-01-11 13:56:48,244.63,28,46,13,Ads,Chrome,M,credit card,clothing,5,tablet,1,0
2024-02-17 03:43:36,22.73,36,302,3,Direct,IE,F,PayPal,toys & games,4,desktop,1,0
2015-06-25 14:57:29,9.0,32,41,14,Ads,Chrome,F,PayPal,home & garden,2,mobile,1,0
2024-02-26 05:41:50,303.4,37,18,5,SEO,Safari,F,debit card,home & garden,3,mobile,0,1
2015-08-12 11:06:42,14.0,35,110,11,SEO,Opera,F,PayPal,clothing,3,mobile,0,0
2024-02-08 04:01:18,803.78,20,222,4,Direct,Chrome,M,credit card,health & beauty,4,tablet,0,0
2024-01-13 18:43:33,493.49,52,166,18,Ads,IE,F,credit card,health & beauty,4,tablet,1,0
2024-03-10 01:16:55,47.56,50,130,1,SEO,Safari,M,credit card,home & garden,2,mobile,1,1
2015-04-12 15:05:58,44.0,40,81,15,SEO,IE,M,credit card,electronics,1,desktop,1,1
2024-02-14 09:02:51,28.75,38,124,9,SEO,Chrome,F,PayPal,health & beauty,1,mobile,1,0
2024-01-17 13:17:09,324.12,31,195,13,SEO,Safari,M,credit card,electronics,5,tablet,1,0
2015-07-24 19:48:47,44.0,29,79,19,Ads,Safari,F,bank transfer,home & garden,5,tablet,0,0
2024-03-05 17:24:17,80.65,28,152,17,Ads,FireFox,F,PayPal,clothing,1,tablet,1,0
2015-08-02 01:39:37,26.0,36,83,1,SEO,IE,M,debit card,toys & games,1,desktop,1,0
2024-03-01 20:42:29,590.37,7,9,20,SEO,FireFox,M,PayPal,electronics,3,mobile,1,0
2024-03-05 07:35:53,283.4,34,27,7,SEO,Chrome,M,debit card,clothing,4,mobile,1,0
2015-07-09 10:35:51,56.0,29,7,10,Ads,Safari,M,credit card,clothing,5,mobile,1,0
2024-02-02 20:08:00,235.97,39,175,20,Ads,Chrome,M,PayPal,toys & games,5,desktop,1,0
2024-01-11 09:51:07,25.5,37,84,9,Ads,FireFox,M,debit card,health & beauty,4,mobile,1,0
2024-03-27 23:01:32,179.99,33,168,23,Ads,IE,M,credit card,toys & games,3,tablet,1,0
2024-03-02 18:29:20,80.02,22,154,18,SEO,Safari,M,debit card,electronics,4,tablet,1,0
2015-01-05 09:30:18,39.0,40,0,9,Ads,IE,F,debit card,toys & games,3,desktop,1,1
2024-01-14 05:33:54,46.0,29,242,5,SEO,Chrome,F,debit card,toys & games,2,mobile,1,0
2024-02-14 21:06:16,60.38,32,319,21,SEO,FireFox,M,bank transfer,home & garden,3,mobile,1,0
2015-08-22 11:06:31,55.0,35,31,11,SEO,Safari,F,bank transfer,health & beauty,4,mobile,1,0
2024-02-04 06:10:36,176.7,26,325,6,Ads,Chrome,M,credit card,toys & games,3,mobile,1,0
2024-01-30 00:43:58,152.42,44,302,0,SEO,Chrome,F,credit card,health & beauty,2,desktop,1,0
2024-01-22 15:46:01,136.83,48,197,15,Direct,Chrome,M,credit card,electronics,4,tablet,1,0
2015-08-03 20:20:24,19.0,22,15,20,Direct,Opera,M,debit card,clothing,4,desktop,1,0
2015-07-11 03:01:21,43.0,45,80,3,SEO,Chrome,F,bank transfer,health & beauty,2,mobile,1,0
2024-03-26 02:35:06,52.05,43,230,2,SEO,Safari,M,bank transfer,health & beauty,3,tablet,1,0
2024-01-30 08:02:24,149.58,9,358,8,SEO,FireFox,M,credit card,clothing,1,desktop,1,0
2024-01-13 13:11:16,93.87,46,38,13,Ads,Chrome,F,PayPal,electronics,1,tablet,1,0
2015-11-11 08:42:22,90.0,26,90,8,Ads,FireFox,F,debit card,toys & games,4,desktop,1,0
2015-06-05 16:24:33,26.0,40,23,16,Ads,Chrome,M,bank transfer,toys & games,5,mobile,1,0
2015-03-29 05:18:04,50.0,18,26,5,Ads,IE,F,PayPal,clothing,4,desktop,1,0
2015-05-25 22:03:24,60.0,54,61,22,Direct,IE,M,debit card,electronics,3,tablet,1,0
2015-06-24 18:21:52,10.0,33,28,18,Ads,FireFox,M,debit card,clothing,1,tablet,1,0
2015-09-18 01:19:55,11.0,35,98,1,SEO,FireFox,M,PayPal,home & garden,2,mobile,1,0
2024-03-17 03:32:27,81.31,18,332,3,Ads,IE,M,credit card,home & garden,2,tablet,1,0
2015-10-12 04:57:15,28.0,41,83,4,Ads,IE,M,PayPal,clothing,5,mobile,1,0
2015-01-03 03:02:50,30.0,47,0,3,SEO,FireFox,F,credit card,electronics,4,desktop,1,1
2024-04-02 18:37:32,388.61,55,316,18,SEO,IE,M,PayPal,clothing,5,tablet,1,0
2024-01-01 21:18:20,242.54,38,135,21,Ads,Safari,M,bank transfer,clothing,3,mobile,0,0
2024-02-23 16:33:34,343.63,27,202,16,SEO,Chrome,F,PayPal,health & beauty,4,desktop,1,0
2015-04-11 20:45:37,11.0,24,30,20,SEO,Chrome,M,credit card,electronics,5,desktop,1,0
2015-07-21 01:02:08,52.0,28,31,1,Direct,Chrome,M,credit card,home & garden,1,mobile,1,0
2015-07-12 12:46:22,30.0,38,107,12,SEO,IE,M,debit card,health & beauty,2,tablet,1,1
2024-02-17 10:45:32,38.25,46,72,10,SEO,IE,F,bank transfer,health & beauty,1,desktop,1,0
2024-02-03 06:22:55,116.85,51,218,6,SEO,Chrome,M,bank transfer,health & beauty,3,mobile,1,0
2024-02-26 14:30:20,29.39,31,50,14,SEO,Chrome,F,credit card,health & beauty,1,desktop,1,0
2015-07-18 18:51:53,45.0,24,54,18,Ads,FireFox,F,debit card,clothing,5,desktop,1,0
2015-08-30 04:50:15,46.0,39,86,4,SEO,Chrome,M,debit card,home & garden,1,tablet,1,0
2015-08-04 13:37:22,49.0,30,28,13,Ads,Safari,F,debit card,clothing,4,desktop,1,0
2015-04-28 14:54:59,76.0,20,97,14,Ads,Safari,M,credit card,electronics,1,tablet,1,0
2024-02-02 12:16:52,40.07,48,126,12,Ads,IE,M,credit card,health & beauty,1,tablet,1,0
2024-02-22 12:17:32,408.38,33,150,12,Direct,IE,M,PayPal,electronics,5,mobile,0,0
2024-03-10 08:30:56,203.91,28,245,8,SEO,Safari,M,PayPal,health & beauty,3,desktop,1,0
2024-03-31 15:06:38,180.38,30,303,15,SEO,Safari,M,PayPal,clothing,5,tablet,1,0
2015-04-09 15:56:58,32.0,26,46,15,SEO,Chrome,F,PayPal,toys & games,1,tablet,1,0
2024-03-31 06:15:41,80.41,17,322,6,SEO,Chrome,M,PayPal,electronics,3,mobile,1,0
2024-02-11 03:41:38,800.12,43,183,3,Ads,IE,M,PayPal,home & garden,2,desktop,1,0
2015-06-23 10:47:43,30.0,34,107,10,Ads,FireFox,F,debit card,toys & games,2,tablet,1,0
2015-02-16 22:52:45,33.0,23,14,22,Ads,IE,M,debit card,clothing,2,mobile,1,0
2024-02-13 13:08:26,10.73,33,350,13,SEO,IE,F,debit card,home & garden,3,mobile,1,0
2015-06-06 22:05:11,44.0,22,84,22,Ads,IE,F,credit card,health & beauty,1,desktop,1,0
2015-06-25 16:38:07,19.0,36,115,16,SEO,Safari,M,bank transfer,health & beauty,2,tablet,0,0
2015-10-07 15:06:36,33.0,29,118,15,SEO,Chrome,M,bank transfer,toys & games,4,desktop,1,0
2024-03-10 02:10:47,218.57,31,142,2,Ads,FireFox,M,bank transfer,electronics,3,mobile,1,0
2024-04-02 17:43:21,344.01,26,323,17,SEO,FireFox,M,debit card,toys & games,2,desktop,1,0
2015-11-01 03:17:02,52.0,41,113,3,SEO,Chrome,M,PayPal,health & beauty,5,mobile,1,0
2024-03-22 16:21:37,889.64,30,71,16,SEO,IE,F,credit card,home & garden,5,mobile,1,0
2015-03-08 02:31:14,15.0,44,34,2,SEO,Chrome,F,PayPal,health & beauty,3,mobile,1,0
2024-02-23 08:41:31,74.22,36,67,8,Direct,IE,M,debit card,health & beauty,1,tablet,1,0
2024-02-01 23:03:01,340.58,45,255,23,Ads,Chrome,F,bank transfer,home & garden,1,tablet,0,0
2024-02-29 21:38:17,409.39,48,121,21,Ads,Safari,M,debit card,electronics,4,tablet,1,0
2015-06-21 22:18:09,40.0,39,107,22,SEO,FireFox,F,PayPal,toys & games,1,desktop,1,0
2024-03-05 23:57:42,220.53,49,221,23,SEO,Safari,F,debit card,home & garden,4,desktop,1,0
2024-04-01 07:17:13,487.95,32,51,7,Ads,Safari,F,credit card,home & garden,3,mobile,0,0
