Transaction.Date,Transaction.Amount,Customer.Age,Account.Age.Days,Transaction.Hour,source,browser,sex,Payment.Method,Product.Category,Quantity,Device.Used,Address.Match,Is.Fraudulent
2024-03-31 12:28:04,222.0,42,137,12,Ads,Chrome,F,PayPal,toys & games,4,tablet,1,0
2015-08-18 09:39:35,29.0,42,67,9,Ads,FireFox,F,credit card,home & garden,3,mobile,1,0
2024-01-28 01:22:58,104.0,38,359,1,SEO,IE,M,bank transfer,electronics,2,tablet,1,0
2024-02-03 08:47:58,51.73,32,74,8,Direct,Chrome,F,bank transfer,toys & games,3,mobile,1,0
2024-03-28 01:59:06,58.32,29,360,1,Ads,Safari,M,credit card,home & garden,4,desktop,1,0
2024-01-31 21:30:43,646.85,20,240,21,Direct,Chrome,M,credit card,health & beauty,4,mobile,0,0
2015-05-20 09:25:06,55.0,36,68,9,SEO,Safari,F,credit card,clothing,3,desktop,1,0
2024-03-08 03:55:46,259.35,46,360,3,Direct,IE,F,debit card,home & garden,3,mobile,1,0
2024-01-15 04:40:10,76.14,45,294,4,Ads,IE,M,bank transfer,clothing,4,desktop,1,0
2024-01-25 17:00:07,379.56,69,65,17,Ads,Safari,F,debit card,toys & games,3,desktop,1,0
2015-05-18 12:47:16,25.0,29,27,12,Ads,IE,F,credit card,electronics,2,mobile,1,0
2024-02-07 07:46:30,270.51,22,120,7,Ads,Chrome,F,bank transfer,toys & games,3,mobile,1,0
2024-03-27 10:48:07,103.26,41,316,10,Ads,FireFox,M,bank transfer,electronics,4,desktop,1,0
2024-02-23 22:25:38,113.93,38,35,22,SEO,IE,F,PayPal,clothing,5,desktop,1,0
2024-02-26 11:57:51,89.11,41,296,11,Ads,Chrome,M,PayPal,health & beauty,2,mobile,1,0
2015-08-02 06:11:08,41.0,32,89,6,Direct,Chrome,F,bank transfer,toys & games,1,mobile,1,0
2015-04-20 13:21:51,11.0,38,50,13,SEO,Chrome,F,bank transfer,health & beauty,5,mobile,0,0
2024-01-24 06:16:36,55.54,19,91,6,SEO,IE,F,credit card,toys & games,2,desktop,1,0
2024-03-14 04:54:35,486.82,31,199,4,Direct,FireFox,M,bank transfer,home & garden,5,mobile,1,0
2024-01-20 04:31:16,12.58,36,169,4,Ads,IE,M,credit card,clothing,5,mobile,1,0
2024-02-05 23:16:38,47.86,41,95,23,SEO,FireFox,F,PayPal,electronics,2,tablet,1,0
2015-06-24 00:15:37,53.0,25,118,0,SEO,Chrome,M,PayPal,health & beauty,5,tablet,1,0
2024-03-31 12:30:43,152.18,31,222,12,SEO,FireFox,F,credit card,electronics,4,tablet,1,0
2015-05-13 10:10:47,30.0,35,61,10,SEO,IE,M,PayPal,electronics,5,tablet,1,0
2015-05-23 11:18:42,25.0,19,91,11,Ads,IE,F,PayPal,electronics,1,tablet,1,0
2015-09-14 04:58:44,15.0,34,80,4,Ads,Chrome,M,debit card,clothing,5,tablet,1,1
2015-09-01 10:40:47,50.0,49,107,10,SEO,Chrome,M,PayPal,clothing,1,mobile,1,0
2024-01-07 16:29:01,21.76,35,331,16,Ads,IE,F,bank transfer,electronics,4,tablet,1,0
2015-09-10 22:06:24,59.0,35,87,22,Ads,Chrome,F,PayPal,clothing,5,mobile,1,0
2015-03-25 13:45:55,17.0,59,74,13,SEO,Opera,M,bank transfer,electronics,2,desktop,1,0
2024-02-20 02:17:03,356.87,26,255,2,SEO,FireFox,F,PayPal,toys & games,3,desktop,1,0
2024-02-11 03:51:44,287.54,38,243,3,Ads,Chrome,F,debit card,health & beauty,5,mobile,0,0
2024-04-02 02:20:50,31.69,22,268,2,Direct,IE,F,credit card,toys & games,2,desktop,1,0
2015-09-05 11:50:44,44.0,30,41,11,Ads,Safari,F,credit card,home & garden,2,mobile,1,0
2015-08-07 10:23:05,16.0,21,92,10,Ads,IE,M,bank transfer,clothing,5,desktop,1,0
2015-09-07 01:19:10,73.0,32,27,1,Ads,Chrome,F,PayPal,home & garden,5,desktop,1,0
2024-01-13 06:10:45,183.59,18,99,6,SEO,IE,F,bank transfer,toys & games,2,mobile,1,0
2024-01-17 11:43:54,95.49,51,178,11,Ads,Chrome,M,credit card,clothing,1,tablet,1,0
2024-02-17 21:01:46,605.64,37,284,21,Ads,FireFox,M,PayPal,electronics,1,desktop,1,0
2015-06-14 10:47:07,40.0,39,29,10,Ads,Chrome,M,credit card,toys & games,2,mobile,1,0
2024-01-08 11:00:47,131.53,56,234,11,Direct,FireFox,M,PayPal,electronics,2,desktop,1,0
2024-03-30 18:12:48,244.85,37,83,18,Ads,Chrome,F,debit card,clothing,4,tablet,1,0
2015-02-14 21:37:02,19.0,26,18,21,SEO,Chrome,F,debit card,clothing,2,desktop,1,0
2015-11-05 18:58:30,45.0,44,116,18,SEO,FireFox,M,bank transfer,health & beauty,1,desktop,1,0
2024-02-18 00:27:24,142.72,47,171,0,Direct,IE,F,bank transfer,clothing,3,tablet,1,0
2024-01-15 16:15:27,550.95,23,279,16,Ads,Chrome,M,debit card,health & beauty,4,tablet,1,0
2015-08-03 18:44:20,47.0,34,45,18,Ads,Chrome,M,bank transfer,home & garden,5,mobile,1,0
2024-01-17 16:26:58,381.33,49,6,16,Ads,Safari,F,bank transfer,electronics,5,tablet,1,0
2015-05-26 19:20:49,37.0,39,102,19,Ads,Chrome,M,bank transfer,health & beauty,1,mobile,1,0
2024-02-03 22:25:06,156.26,25,271,22,Ads,Chrome,F,PayPal,health & beauty,2,tablet,1,0
2024-03-11 08:27:32,104.39,50,219,8,SEO,Chrome,M,PayPal,toys & games,1,desktop,1,0
2024-01-04 12:03:05,134.48,33,5,12,SEO,Chrome,M,debit card,health & beauty,4,mobile,1,0
2024-02-29 01:29:01,41.15,19,288,1,SEO,IE,F,PayPal,electronics,3,mobile,1,0
2015-08-06 08:46:25,45.0,33,9,8,SEO,Chrome,F,bank transfer,home & garden,3,tablet,1,0
2015-01-10 13:06:29,27.0,42,8,13,SEO,Safari,M,debit card,electronics,2,tablet,1,0
2024-02-18 08:52:31,68.72,46,262,8,Ads,Chrome,F,bank transfer,home & garden,3,mobile,1,0
2024-02-18 04:55:48,212.34,27,84,4,SEO,Chrome,F,debit card,home & garden,4,mobile,1,0
2024-02-19 09:27:34,612.44,36,43,9,Ads,Chrome,M,PayPal,health & beauty,5,tablet,1,0
2015-01-06 06:37:24,20.0,19,0,6,SEO,Chrome,F,credit card,health & beauty,2,desktop,1,1
2024-03-18 15:15:04,105.25,35,121,15,SEO,Chrome,M,debit card,health & beauty,3,mobile,1,0
2024-02-02 01:36:59,25.55,36,2,1,Ads,Chrome,F,bank transfer,home & garden,4,tablet,1,0
2015-01-04 05:45:21,23.0,24,0,5,Ads,Chrome,F,debit card,clothing,5,tablet,1,1
2024-01-14 08:48:16,22.14,29,80,8,SEO,IE,M,bank transfer,electronics,2,tablet,1,0
2015-01-06 12:52:55,52.0,38,0,12,SEO,Chrome,M,PayPal,toys & games,4,desktop,1,1
2024-01-23 18:19:25,265.25,24,183,18,SEO,Chrome,F,bank transfer,health & beauty,2,desktop,1,0
2015-09-09 13:45:27,63.0,33,109,13,Direct,Chrome,M,bank transfer,health & beauty,1,desktop,1,0
2024-02-26 00:44:47,323.66,33,327,0,SEO,Safari,M,bank transfer,electronics,3,mobile,1,0
2024-03-12 14:50:35,85.14,33,122,14,Ads,IE,F,debit card,toys & games,2,desktop,1,0
2015-02-02 06:05:32,27.0,44,7,6,Ads,IE,F,PayPal,clothing,1,mobile,1,0
2015-05-16 23:37:55,29.0,37,70,23,SEO,IE,M,credit card,health & beauty,3,mobile,1,0
2024-01-13 16:31:05,255.55,40,353,16,Ads,Chrome,M,credit card,toys & games,4,desktop,1,0
2024-02-05 22:28:04,139.08,35,6,22,Direct,IE,M,PayPal,toys & games,1,desktop,1,1
2015-02-09 16:29:23,54.0,47,1,16,Ads,Chrome,M,bank transfer,home & garden,5,tablet,1,1
2024-03-21 23:08:35,269.68,38,10,23,Ads,Opera,M,PayPal,toys & games,2,mobile,1,0
2024-03-17 00:27:22,128.33,31,116,0,Direct,Safari,M,PayPal,health & beauty,5,tablet,1,0
2015-07-20 17:59:18,13.0,43,17,17,Ads,Chrome,F,credit card,clothing,3,desktop,1,0
2015-02-21 05:28:42,57.0,18,49,5,Ads,Safari,M,bank transfer,toys & games,4,mobile,1,0
