Transaction.Date,Transaction.Amount,Customer.Age,Account.Age.Days,Transaction.Hour,source,browser,sex,Payment.Method,Product.Category,Quantity,Device.Used,Address.Match,Is.Fraudulent
2024-03-06 20:45:56,61.82,43,258,20,Ads,FireFox,M,credit card,electronics,3,tablet,1,0
2015-03-21 14:36:45,48.0,18,12,14,Ads,Chrome,M,PayPal,home & garden,2,desktop,1,0
2024-03-10 16:31:58,399.01,24,222,16,Ads,Chrome,M,bank transfer,toys & games,1,desktop,1,0
2015-06-05 05:39:52,65.0,28,15,5,Ads,IE,M,credit card,health & beauty,3,mobile,1,0
2015-03-13 10:27:39,26.0,41,59,10,Ads,Safari,M,PayPal,electronics,5,desktop,1,0
2024-02-05 14:32:15,529.82,32,349,14,Ads,IE,F,PayPal,toys & games,2,desktop,1,0
2015-04-28 23:19:07,45.0,53,114,23,Direct,Chrome,M,debit card,home & garden,4,desktop,1,0
2024-03-05 22:17:58,56.14,43,268,22,Direct,IE,F,PayPal,health & beauty,4,tablet,1,0
2024-03-09 12:22:35,34.94,39,186,12,Ads,Chrome,F,bank transfer,health & beauty,3,desktop,1,0
2015-04-03 16:33:32,68.0,31,86,16,Direct,Chrome,F,debit card,electronics,5,mobile,1,0
2024-02-06 02:59:44,18.55,20,60,2,Ads,FireFox,F,bank transfer,health & beauty,2,mobile,1,0
2015-08-23 14:07:08,44.0,31,98,14,Ads,IE,F,credit card,toys & games,4,desktop,1,0
2015-01-10 01:13:30,59.0,34,0,1,SEO,IE,F,debit card,clothing,4,desktop,1,1
2015-09-09 10:30:10,42.0,45,54,10,Ads,FireFox,F,PayPal,toys & games,5,desktop,1,0
2024-02-26 13:19:13,242.97,28,362,13,Ads,Opera,M,credit card,electronics,4,tablet,1,0
2015-03-14 03:05:34,12.0,19,20,3,Ads,FireFox,F,debit card,clothing,5,desktop,1,0
2024-02-19 02:11:27,24.0,28,53,2,SEO,Chrome,M,bank transfer,toys & games,3,desktop,1,0
2024-02-13 17:45:57,209.03,39,37,17,SEO,Chrome,F,debit card,clothing,3,desktop,1,0
2024-03-27 16:50:28,356.17,20,164,16,Direct,IE,F,bank transfer,health & beauty,5,desktop,1,0
2024-02-08 13:40:22,550.11,22,23,13,Ads,FireFox,F,bank transfer,clothing,2,tablet,1,0
2024-01-03 19:52:32,311.02,35,190,19,Ads,FireFox,M,credit card,health & beauty,2,desktop,1,0
2024-02-02 21:12:31,534.88,37,272,21,SEO,Chrome,M,PayPal,toys & games,3,mobile,0,0
2024-01-12 23:22:04,146.38,45,212,23,Ads,FireFox,F,PayPal,health & beauty,2,tablet,1,0
2015-05-26 21:52:34,31.0,38,38,21,SEO,IE,M,debit card,toys & games,5,tablet,1,0
2015-09-16 19:46:00,20.0,28,107,19,Ads,FireFox,F,PayPal,toys & games,5,desktop,1,0
2015-06-15 16:22:01,22.0,24,109,16,Ads,FireFox,M,PayPal,health & beauty,4,desktop,1,0
2015-08-16 15:31:07,18.0,35,18,15,SEO,Chrome,M,PayPal,toys & games,2,mobile,1,0
2024-03-27 18:46:50,432.25,41,6,18,Ads,IE,M,debit card,home & garden,2,tablet,0,0
2015-05-22 10:18:18,36.0,33,8,10,Direct,Chrome,M,PayPal,clothing,5,desktop,0,0
2024-04-01 23:51:37,61.41,25,339,23,SEO,FireFox,M,credit card,health & beauty,5,mobile,1,0
2015-09-03 02:06:50,26.0,34,34,2,SEO,FireFox,M,PayPal,toys & games,1,desktop,1,0
2015-01-06 04:45:54,38.0,25,0,4,Ads,IE,M,credit card,clothing,5,desktop,1,1
2024-03-18 17:52:56,423.08,38,197,17,SEO,Chrome,F,PayPal,toys & games,1,desktop,1,0
2024-01-19 10:57:15,251.29,14,34,10,Ads,Opera,M,bank transfer,toys & games,1,desktop,1,0
2024-03-03 13:39:23,17.93,41,312,13,SEO,IE,F,credit card,home & garden,1,tablet,1,0
2024-02-17 02:50:46,166.31,26,38,2,Direct,FireFox,F,PayPal,clothing,1,mobile,1,0
2015-07-13 11:09:50,22.0,32,20,11,Ads,Chrome,F,credit card,clothing,1,tablet,1,0
2015-09-22 11:46:45,34.0,29,48,11,Ads,Safari,M,PayPal,toys & games,2,desktop,1,0
2015-05-27 15:58:09,27.0,32,90,15,Direct,IE,F,bank transfer,toys & games,2,mobile,1,0
2024-03-06 06:26:36,189.95,42,135,6,SEO,FireFox,M,credit card,health & beauty,4,mobile,1,0
2015-08-17 23:38:37,58.0,37,81,23,Direct,FireFox,M,debit card,health & beauty,3,desktop,1,0
2015-05-30 23:17:07,50.0,23,35,23,SEO,Opera,M,PayPal,home & garden,3,desktop,1,0
2015-05-02 00:42:52,45.0,51,109,0,SEO,Chrome,M,bank transfer,home & garden,5,desktop,1,0
2015-09-24 13:37:57,15.0,23,48,13,Direct,Chrome,M,bank transfer,clothing,4,tablet,1,0
2015-09-03 14:09:08,74.0,28,22,14,Ads,IE,F,bank transfer,toys & games,5,tablet,0,0
2024-02-10 22:13:10,91.96,30,176,22,Direct,Safari,F,bank transfer,clothing,5,mobile,1,0
2015-10-01 06:41:48,16.0,38,61,6,Ads,Chrome,M,PayPal,toys & games,3,desktop,1,0
2024-02-13 21:01:56,111.59,37,70,21,Ads,FireFox,M,debit card,toys & games,3,mobile,1,0
2024-01-08 16:50:29,57.5,26,348,16,Ads,Chrome,F,credit card,health & beauty,1,desktop,1,0
2024-01-14 01:16:16,51.96,35,200,1,Ads,Chrome,F,debit card,toys & games,3,mobile,1,0
2024-01-17 08:04:41,149.09,47,237,8,Ads,FireFox,F,debit card,health & beauty,3,desktop,0,0
2015-07-26 07:23:02,56.0,49,45,7,Direct,IE,F,bank transfer,clothing,3,mobile,1,0
2015-04-21 18:07:42,61.0,30,24,18,Ads,Chrome,M,PayPal,electronics,3,tablet,0,0
2015-03-21 20:19:37,39.0,26,29,20,SEO,Safari,M,debit card,health & beauty,4,mobile,1,0
2015-06-23 12:25:49,30.0,47,86,12,Direct,Safari,M,debit card,toys & games,2,desktop,1,0
2024-03-28 05:01:20,179.27,34,352,5,Direct,FireFox,M,debit card,electronics,1,mobile,1,0
2015-07-06 19:27:55,75.0,36,93,19,Direct,FireFox,F,debit card,home & garden,4,mobile,1,0
2024-02-22 18:40:59,210.67,38,29,18,Direct,IE,F,bank transfer,toys & games,1,desktop,0,0
2024-03-01 16:39:41,364.81,35,362,16,Ads,Chrome,M,PayPal,health & beauty,1,desktop,1,0
2015-01-17 03:00:18,61.0,45,9,3,Ads,Chrome,F,debit card,clothing,5,desktop,1,0
2024-01-28 04:03:08,77.84,44,170,4,Direct,IE,F,PayPal,home & garden,4,tablet,1,0
2015-09-02 17:53:42,47.0,47,37,17,Direct,Chrome,F,PayPal,electronics,2,desktop,1,0
2024-02-26 19:27:58,472.98,28,338,19,SEO,Safari,F,PayPal,electronics,5,tablet,1,0
2024-02-04 11:04:13,48.2,56,65,11,Direct,IE,F,credit card,toys & games,1,tablet,1,0
2015-07-06 11:41:07,34.0,18,64,11,Ads,Chrome,M,debit card,clothing,5,desktop,1,0
2024-01-30 03:09:04,94.82,39,363,3,Direct,IE,F,credit card,home & garden,4,mobile,1,0
2015-08-02 16:41:34,22.0,34,68,16,Ads,IE,M,debit card,health & beauty,3,tablet,1,0
2024-01-28 18:59:06,262.3,34,203,18,Ads,Safari,F,bank transfer,toys & games,1,mobile,1,0
2015-01-04 16:35:12,23.0,39,0,16,SEO,Chrome,M,debit card,home & garden,5,tablet,1,1
2024-03-21 17:44:58,704.77,27,129,17,Ads,Chrome,F,bank transfer,home & garden,3,mobile,1,0
2024-01-17 17:27:05,86.12,19,136,17,SEO,Chrome,F,credit card,health & beauty,5,desktop,1,0
2015-05-28 10:27:25,50.0,33,95,10,Ads,Chrome,M,bank transfer,home & garden,1,mobile,1,0
2024-03-23 18:07:31,152.91,41,97,18,SEO,Safari,F,debit card,toys & games,1,tablet,0,0
