address_state,emp_title,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,purpose,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,emp_years,grade_numeric,sub_grade_numeric,issue_year,issue_month,issue_day,issue_weekday,last_credit_pull_year,last_credit_pull_month,last_credit_pull_day,last_credit_pull_weekday,last_payment_year,last_payment_month,last_payment_day,last_payment_weekday,next_payment_year,next_payment_month,next_payment_day,next_payment_weekday,term_months
GA,Ryder,RENT,11-02-2021,13-09-2021,13-04-2021,Charged Off,13-05-2021,car,Source Verified,30000.0,0.01,59.83,0.1527,2500,4,1009,0,2,2.6,2021,2,11,3,2021,9,13,0,2021,4,13,1,2021,5,13,3,60
CA,MKC Accounting,RENT,01-01-2021,14-12-2021,15-01-2021,Fully Paid,15-02-2021,car,Source Verified,48000.0,0.0535,109.43,0.1864,3000,4,3939,9,4,4.0,2021,1,1,4,2021,12,14,1,2021,1,15,4,2021,2,15,0,36
CA,Chemat Technology Inc,RENT,05-01-2021,12-12-2021,09-01-2021,Charged Off,09-02-2021,car,Not Verified,50000.0,0.2088,421.65,0.1596,12000,11,3522,4,2,2.8,2021,1,5,1,2021,12,12,6,2021,1,9,5,2021,2,9,1,36
TX,barnes distribution,MORTGAGE,25-02-2021,12-12-2021,12-03-2021,Fully Paid,12-04-2021,car,Source Verified,42000.0,0.054,97.06,0.1065,4500,9,4911,0,1,1.2,2021,2,25,3,2021,12,12,6,2021,3,12,4,2021,4,12,0,60
IL,J&J Steel Inc,MORTGAGE,01-01-2021,14-12-2021,15-01-2021,Fully Paid,15-02-2021,car,Verified,83000.0,0.0231,106.53,0.0603,3500,28,3835,10,0,0.0,2021,1,1,4,2021,12,14,1,2021,1,15,4,2021,2,15,0,36
CA,Studio 94 Corp,RENT,17-07-2021,16-03-2021,12-08-2021,Fully Paid,12-09-2021,car,Not Verified,28000.0,0.126,275.96,0.1465,8000,11,8637,3,2,2.4,2021,7,17,5,2021,3,16,1,2021,8,12,3,2021,9,12,6,36
TX,American Airlines,MORTGAGE,19-11-2021,14-06-2021,13-12-2021,Fully Paid,13-01-2022,car,Verified,94800.0,0.2453,205.86,0.1427,6000,30,7218,10,2,2.2,2021,11,19,4,2021,6,14,0,2021,12,13,0,2022,1,13,3,36
PA,SCI Mahanoy,OWN,11-06-2021,14-07-2021,14-07-2021,Fully Paid,14-08-2021,car,Source Verified,59000.0,0.0665,172.1,0.079,5500,23,6172,10,0,0.6,2021,6,11,4,2021,7,14,2,2021,7,14,2,2021,8,14,5,36
FL,Tech Data Corp,MORTGAGE,02-09-2021,15-06-2021,12-10-2021,Charged Off,12-11-2021,car,Verified,116400.0,0.0394,762.08,0.089,24000,31,8650,10,0,0.8,2021,9,2,3,2021,6,15,1,2021,10,12,1,2021,11,12,4,36
MI,teltow contracting,MORTGAGE,09-02-2021,16-03-2021,16-03-2021,Fully Paid,16-04-2021,car,Not Verified,36000.0,0.1773,93.21,0.1269,4125,21,5551,10,1,1.8,2021,2,9,1,2021,3,16,1,2021,3,16,1,2021,4,16,4,60
