address_state,emp_title,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,purpose,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,emp_years,grade_numeric,sub_grade_numeric,issue_year,issue_month,issue_day,issue_weekday,last_credit_pull_year,last_credit_pull_month,last_credit_pull_day,last_credit_pull_weekday,last_payment_year,last_payment_month,last_payment_day,last_payment_weekday,next_payment_year,next_payment_month,next_payment_day,next_payment_weekday,term_months
NJ,Nissan North America,RENT,11-02-2021,15-12-2021,15-05-2021,Charged Off,15-06-2021,car,Verified,88000.0,0.0762,542.76,0.1751,21600,24,28049,7,4,4.6,2021,2,11,3,2021,12,15,2,2021,5,15,5,2021,6,15,1,60
WA,WSLCB,RENT,10-07-2021,15-01-2021,13-02-2021,Fully Paid,13-03-2021,Debt consolidation,Not Verified,26000.0,0.1454,121.34,0.0751,3900,12,4357,2,0,0.6,2021,7,10,5,2021,1,15,4,2021,2,13,5,2021,3,13,5,36
MA,Procter and Gamble Co.,RENT,10-04-2021,15-05-2021,11-02-2021,Fully Paid,11-03-2021,credit card,Source Verified,120000.0,0.134,870.71,0.1533,25000,34,27867,5,3,3.4,2021,4,10,5,2021,5,15,5,2021,2,11,3,2021,3,11,3,36
VA,Charlotte Russe,RENT,10-08-2021,13-09-2021,13-10-2021,Fully Paid,13-11-2021,Debt consolidation,Not Verified,27996.0,0.0313,77.3,0.1595,2200,4,2801,0,3,3.6,2021,8,10,1,2021,9,13,0,2021,10,13,2,2021,11,13,5,36
VA,"Century 21 AdVenture, Inc.",RENT,11-09-2021,14-03-2021,14-03-2021,Fully Paid,14-04-2021,Debt consolidation,Verified,40000.0,0.2265,504.22,0.1825,19750,14,27200,10,3,3.8,2021,9,11,5,2021,3,14,6,2021,3,14,6,2021,4,14,2,60
OR,State of Oregon: Dept. Human Srvcs,MORTGAGE,10-02-2021,13-03-2021,13-03-2021,Fully Paid,13-04-2021,Debt consolidation,Not Verified,68340.0,0.1213,818.38,0.1099,25000,26,29462,9,1,1.6,2021,2,10,2,2021,3,13,5,2021,3,13,5,2021,4,13,1,36
OH,u.s. navy,RENT,09-08-2021,14-07-2021,12-08-2021,Fully Paid,12-09-2021,Debt consolidation,Not Verified,60000.0,0.1162,430.31,0.1284,12800,15,15492,7,2,2.2,2021,8,9,0,2021,7,14,2,2021,8,12,3,2021,9,12,6,36
OR,OUS-University of Oregon Health Center,RENT,11-03-2021,16-05-2021,13-03-2021,Fully Paid,13-04-2021,Debt consolidation,Source Verified,42792.0,0.2305,405.26,0.1788,16000,16,21018,10,4,4.8,2021,3,11,3,2021,5,16,6,2021,3,13,5,2021,4,13,1,60
AL,Honda Manufacturing of Alabama,MORTGAGE,10-12-2021,16-05-2021,13-11-2021,Fully Paid,13-12-2021,Debt consolidation,Not Verified,104000.0,0.1148,451.68,0.0999,14000,31,16243,9,1,1.6,2021,12,10,4,2021,5,16,6,2021,11,13,5,2021,12,13,0,36
CA,No title,RENT,11-06-2021,12-07-2021,12-02-2021,Charged Off,12-03-2021,small business,Verified,65000.0,0.1828,174.85,0.1562,5000,23,1458,0,3,3.0,2021,6,11,4,2021,7,12,0,2021,2,12,4,2021,3,12,4,36
