iter	Passed	Remaining
0	52	5162
1	109	5384
2	177	5743
3	240	5763
4	302	5743
5	351	5499
6	402	5349
7	466	5361
8	519	5257
9	573	5159
10	631	5107
11	697	5118
12	867	5807
13	940	5775
14	1000	5670
15	1053	5529
16	1117	5457
17	1200	5468
18	1263	5387
19	1321	5286
20	1390	5229
21	1454	5157
22	1570	5256
23	1686	5339
24	1774	5322
25	1843	5246
26	1911	5169
27	2008	5165
28	2066	5060
29	2137	4988
30	2213	4925
31	2281	4848
32	2339	4749
33	2393	4646
34	2445	4541
35	2506	4456
36	2562	4363
37	2608	4255
38	2663	4165
39	2716	4074
40	2770	3987
